C,penalty,Solver,F1,Std,Time,No,Attack
0.005643276975725798,l1,liblinear,0.8708671527679719,0.006480332356088095,219.032,0,SYN
0.5666258459840904,l2,newton-cg,0.8582728517790429,1.1102230246251565e-16,52.225,1,SYN
0.35391779300308707,l1,liblinear,0.9139692030359783,0.0018517874095361306,378.976,2,SYN
9.00745830147867,l1,liblinear,0.9653757939154989,0.0028440825266618248,350.407,3,SYN
37.926299076652626,l1,liblinear,0.9629555636836556,0.003482642434557564,391.518,4,SYN
0.6582527364825979,l2,lbfgs,0.8713657986095097,1.1102230246251565e-16,28.161,5,SYN
66.42598779344682,l1,liblinear,0.9640194970113376,0.005764964039810358,222.857,6,SYN
0.008053290451739883,l1,liblinear,0.8682786433442418,0.004316203314023882,207.187,7,SYN
83.35985748569188,l1,liblinear,0.9609273589070074,0.004232745413395215,399.915,8,SYN
0.08567102976722345,l2,lbfgs,0.8712572340528428,0.0,35.293,9,SYN
0.3463014978100284,l1,liblinear,0.9130921895006402,0.0,1.629,0,HTTP
2.334975100685056,l1,liblinear,0.9190854807293164,1.1102230246251565e-16,3.462,1,HTTP
2.4446196924387532e-05,l2,newton-cg,0.4335476409157398,5.551115123125783e-17,10.566,2,HTTP
12.27961447803006,l1,liblinear,0.9190854807293164,1.1102230246251565e-16,2.841,3,HTTP
21.527494583809723,l1,liblinear,0.9190854807293164,1.1102230246251565e-16,4.162,4,HTTP
0.0013090889114940132,l1,liblinear,0.4108303864343232,0.0,3.932,5,HTTP
48.89272529991144,l2,newton-cg,0.9220692239612818,0.0,7.888,6,HTTP
4.799811589904896,l1,liblinear,0.9190854807293164,1.1102230246251565e-16,2.164,7,HTTP
0.6730399864195014,l1,liblinear,0.9190854807293164,1.1102230246251565e-16,2.058,8,HTTP
0.001673749254558135,l2,newton-cg,0.9222527144732131,1.1102230246251565e-16,8.084,9,HTTP
0.00039308210532853355,l2,newton-cg,0.34223641464855287,0.0,10.054,0,ACK
0.3303781179001679,l1,liblinear,0.3351687642574843,0.00010545176396909414,12.084,1,ACK
0.0009014154208804447,l2,newton-cg,0.31265408201231726,0.0,16.923,2,ACK
1.2333786397823952e-05,l2,newton-cg,0.31907098423166835,0.0,17.423,3,ACK
1.9624985301272209,l1,liblinear,0.33515322301956346,3.1098880439239804e-05,16.749,4,ACK
0.00019225348749730574,l2,lbfgs,0.297037157373555,0.0,3.494,5,ACK
7.534973419874586,l2,lbfgs,0.30696403623628726,0.0,6.189,6,ACK
0.112412009926286,l2,newton-cg,0.349089574800078,0.0,19.252,7,ACK
42.29618628383931,l1,liblinear,0.335060921275777,0.00013289979579066748,11.754,8,ACK
0.8899733575288369,l2,newton-cg,0.3211764940124668,0.0,11.598,9,ACK
0.3256878086662613,l2,newton-cg,0.28860294117647056,0.0,4.594,0,UDP
0.00015901727348426397,l2,newton-cg,0.28860294117647056,0.0,9.656,1,UDP
1.7266987606273878e-05,l2,liblinear,0.28860294117647056,0.0,1.297,2,UDP
72.38933866969975,l1,liblinear,0.28860294117647056,0.0,1.239,3,UDP
0.00024217320911794818,l2,liblinear,0.28860294117647056,0.0,1.61,4,UDP
0.029631871945768253,l2,lbfgs,0.28860294117647056,0.0,2.452,5,UDP
4.920851317770741,l2,liblinear,0.28860294117647056,0.0,3.133,6,UDP
0.009361751300215916,l2,lbfgs,0.28860294117647056,0.0,5.305,7,UDP
0.559940762072278,l1,liblinear,0.28860294117647056,0.0,1.547,8,UDP
0.0021237273860802864,l2,newton-cg,0.28860294117647056,0.0,7.74,9,UDP
0.38330212034790445,l1,liblinear,0.9473451472586287,0.0020509855060539283,14.315,0,ARP
14.465549479785933,l1,liblinear,0.9396440127454768,0.001615644992060021,14.84,1,ARP
0.44646910188073563,l1,liblinear,0.9498948478597194,0.002478141231003168,7.19,2,ARP
0.0003342742271908238,l2,liblinear,0.9279761904761905,0.0,5.629,3,ARP
0.2900520566353867,l1,liblinear,0.9530868762102707,0.003767818949409596,5.501,4,ARP
0.11371566728456747,l1,liblinear,0.952174743978539,0.0037043864276613083,13.899,5,ARP
0.13283023580249634,l1,liblinear,0.9506546771563782,0.003140513235002263,14.931,6,ARP
0.5493563239963024,l1,liblinear,0.9524121927733864,0.003807525658647257,10.953,7,ARP
0.0006135769120450572,l1,liblinear,0.933637830646956,0.0032264978448237978,14.144,8,ARP
2.2276044139472075,l2,liblinear,0.9276288736869651,1.1102230246251565e-16,4.276,9,ARP
0.0002789228663084799,l2,lbfgs,0.9863077986884443,0.0,9.515,0,SP
1.0870500531257032,l1,liblinear,0.9983857558032593,0.0013180248674211322,4.62,1,SP
3.34463748606667e-05,l2,lbfgs,0.9863077986884443,0.0,6.407,2,SP
0.8493897353663059,l1,liblinear,0.9962239664644084,0.001329615538365787,3.659,3,SP
0.8646148568258684,l2,lbfgs,0.9892852259186184,0.0,6.513,4,SP
18.17208611083004,l2,lbfgs,0.9865479650271617,1.1102230246251565e-16,5.404,5,SP
0.00031552964073887954,l2,lbfgs,0.9891910533057444,0.0,7.171,6,SP
0.9041908310203991,l1,liblinear,0.9994619186010866,0.0010761627978270738,1.552,7,SP
21.851589484485846,l1,liblinear,0.9989191053305746,0.0021617893388511168,3.426,8,SP
38.05017379808569,l2,liblinear,0.9806576743365951,1.1102230246251565e-16,3.976,9,SP
2.6431845581743942e-05,l2,liblinear,0.46302467358511823,0.0,0.554,0,BF
5.431956020524952,l2,liblinear,0.46302467358511823,0.0,1.128,1,BF
1.5133214854948676e-05,l2,liblinear,0.46302467358511823,0.0,0.522,2,BF
