criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
entropy,4,26,8,0.721554352839235,0.2585949832087382,2.056,41,OS
entropy,29,4,5,0.8102274717010068,0.07064920140122032,1.99,42,OS
gini,24,39,6,0.8638313160384662,0.054694778562671915,1.61,43,OS
entropy,10,30,3,0.9008628055406112,0.04744379833385744,1.708,44,OS
entropy,12,32,8,0.6640498505468015,0.2870692093172231,1.258,45,OS
entropy,2,2,2,0.6297262653927264,0.12367695685172496,1.018,46,OS
entropy,23,22,3,0.7882361683929112,0.13976377593297923,1.444,47,OS
entropy,8,33,7,0.45019255726999174,0.2582773514574536,1.315,48,OS
entropy,1,14,2,0.7299195641909185,0.20548308271360682,1.165,49,OS
entropy,23,32,8,0.9943762654727788,0.016871203581663406,0.238,0,SCHD
entropy,26,16,8,0.9972312624652837,0.00830621260414921,0.229,1,SCHD
entropy,7,31,7,0.9916075279380625,0.01795798954164034,0.349,2,SCHD
entropy,8,20,9,0.9972312624652837,0.00830621260414921,0.238,3,SCHD
gini,28,3,6,0.917776054209847,0.07468370639690128,0.247,4,SCHD
gini,8,32,2,0.9887525309455578,0.022494938108884543,0.24,5,SCHD
gini,4,18,9,0.9943762654727788,0.016871203581663406,0.221,6,SCHD
entropy,25,15,8,0.9857511970950373,0.02198113308393411,0.287,7,SCHD
entropy,23,21,9,0.9943837156803237,0.011233950895717087,0.264,8,SCHD
gini,16,25,6,0.9803600588836202,0.025292755668103514,0.218,9,SCHD
entropy,26,20,2,1.0,0.0,0.243,10,SCHD
entropy,25,26,7,0.9944625249305672,0.011074950138865614,0.298,11,SCHD
entropy,21,21,4,0.9972312624652837,0.00830621260414921,0.38,12,SCHD
entropy,31,18,3,0.9972312624652837,0.00830621260414921,0.184,13,SCHD
gini,3,16,8,0.9838415606278458,0.02225073103046509,0.189,14,SCHD
entropy,29,25,2,0.9943762654727788,0.016871203581663406,0.176,15,SCHD
gini,21,6,3,0.9600558345670475,0.060686656958366995,0.36,16,SCHD
gini,17,19,7,0.9887525309455578,0.022494938108884543,0.235,17,SCHD
gini,27,16,6,0.9908648936880431,0.018870904882973338,0.191,18,SCHD
gini,21,6,4,0.9873707217212602,0.011242063046824827,0.2,19,SCHD
gini,12,27,4,0.9803600588836204,0.025292755668103514,0.417,20,SCHD
entropy,3,10,3,0.9826466315233866,0.030039007966511048,0.325,21,SCHD
entropy,12,24,6,0.9887525309455578,0.022494938108884543,0.448,22,SCHD
entropy,26,25,4,0.9935325144787273,0.016779591435978097,0.34,23,SCHD
entropy,4,13,4,0.9887525309455578,0.022494938108884543,0.198,24,SCHD
entropy,29,30,5,0.9943762654727788,0.016871203581663406,0.278,25,SCHD
gini,4,17,6,0.9943762654727788,0.016871203581663406,0.208,26,SCHD
entropy,24,32,4,0.9972312624652837,0.00830621260414921,0.217,27,SCHD
entropy,14,32,9,0.9943762654727788,0.016871203581663406,0.218,28,SCHD
entropy,7,12,9,0.9943762654727788,0.016871203581663406,0.376,29,SCHD
gini,23,11,9,0.963993854992507,0.059519152454248936,0.306,30,SCHD
entropy,32,23,3,0.9943762654727788,0.016871203581663406,0.249,31,SCHD
entropy,11,25,3,1.0,0.0,0.403,32,SCHD
gini,8,13,8,0.993610217887287,0.010106881412079355,0.192,33,SCHD
gini,8,17,7,1.0,0.0,0.254,34,SCHD
gini,10,32,3,0.9972312624652837,0.00830621260414921,0.213,35,SCHD
gini,19,19,4,0.9943762654727788,0.016871203581663406,0.458,36,SCHD
entropy,28,26,9,0.9943762654727788,0.016871203581663406,0.25,37,SCHD
gini,5,28,7,0.9943762654727788,0.016871203581663406,0.277,38,SCHD
gini,8,22,9,0.9815131423906223,0.02516209800638774,0.247,39,SCHD
entropy,23,31,2,0.9943762654727788,0.016871203581663406,0.249,40,SCHD
entropy,6,18,9,0.9887187349922094,0.018684412817965977,0.225,41,SCHD
entropy,2,10,2,0.9540560885772615,0.04650645211578963,0.213,42,SCHD
gini,3,25,2,0.9887525309455576,0.022494938108884546,0.303,43,SCHD
gini,32,15,4,0.9908164600710005,0.018938021007601617,0.669,44,SCHD
entropy,31,28,3,0.9916075279380625,0.01795798954164034,0.305,45,SCHD
entropy,2,26,7,0.9861812592936978,0.028229197090429925,0.231,46,SCHD
gini,4,30,4,0.9831287964183367,0.025771189159327548,0.284,47,SCHD
gini,32,33,7,0.9860700528686296,0.018766931004515427,0.197,48,SCHD
gini,20,2,9,0.9444699703728118,0.06712393819798751,0.177,49,SCHD
entropy,22,21,3,0.533417360517744,0.0031184658973294204,0.605,0,MHDis
entropy,20,10,7,0.5272826330818866,0.008078862569769682,0.347,1,MHDis
entropy,9,31,9,0.5354401842619427,0.0016758264029072339,0.374,2,MHDis
entropy,7,30,8,0.5321459836600327,0.008445566325042344,0.511,3,MHDis
entropy,24,23,6,0.5341513477708576,0.0017853748203939287,0.454,4,MHDis
entropy,27,30,5,0.5326151990583308,0.004688044925885353,0.736,5,MHDis
entropy,2,28,3,0.5225258737747754,1.1102230246251565e-16,0.337,6,MHDis
gini,32,23,3,0.5277860006764449,0.007004882877250822,0.527,7,MHDis
entropy,13,20,2,0.528219751057988,0.008371764988254355,0.394,8,MHDis
entropy,15,29,5,0.5337983482673443,0.002738659431067502,0.474,9,MHDis
gini,16,14,6,0.5190565804760952,0.012324432940186933,0.464,10,MHDis
entropy,15,25,4,0.532709625487938,0.004623768756927316,0.869,11,MHDis
entropy,27,19,2,0.529380415180075,0.008062014327070969,0.596,12,MHDis
entropy,16,23,3,0.5315337314881265,0.003168184770687904,0.424,13,MHDis
gini,11,26,3,0.5195870561552611,0.00990829370833628,0.512,14,MHDis
entropy,6,30,2,0.5347273135592919,0.0008490578706270874,0.611,15,MHDis
gini,6,15,9,0.5199714707627634,0.016538489244744044,0.368,16,MHDis
entropy,25,30,3,0.5323642324019413,0.0056781466828224785,0.634,17,MHDis
gini,31,18,6,0.524559058018067,0.010079871252065277,0.471,18,MHDis
entropy,19,29,2,0.5355975897778937,0.0014338331705522922,0.764,19,MHDis
entropy,21,25,9,0.5301827254132895,0.006702370720334115,0.62,20,MHDis
gini,22,31,8,0.5220427972166104,0.010612434428840928,0.533,21,MHDis
gini,28,29,9,0.5217950859628229,0.009494923582810507,0.932,22,MHDis
entropy,22,25,2,0.5331836193276959,0.0036768886965352163,0.705,23,MHDis
gini,24,15,4,0.5223321383584201,0.009886862859633624,0.441,24,MHDis
entropy,26,21,5,0.5314214385929877,0.007666639643497612,0.463,25,MHDis
entropy,10,16,8,0.5202661768832167,0.015126259690364265,0.476,26,MHDis
entropy,9,16,8,0.5294861040886388,0.009889735558167342,0.545,27,MHDis
entropy,25,29,7,0.5344906937475268,0.002866374951816096,0.578,28,MHDis
gini,15,29,2,0.5238417563901023,0.01035161470037291,0.568,29,MHDis
entropy,10,18,7,0.5324884875934137,0.0047663671081012585,0.566,30,MHDis
entropy,11,29,5,0.5345005656683742,0.003307205418234031,0.639,31,MHDis
entropy,19,31,2,0.5335595256622341,0.0021097692119942685,0.469,32,MHDis
entropy,22,7,9,0.5201866718029394,0.009590601425977572,0.393,33,MHDis
gini,28,20,3,0.5250698713785624,0.010208898975787894,0.569,34,MHDis
entropy,6,17,3,0.5261351090233657,0.010155236607974214,0.403,35,MHDis
entropy,21,23,2,0.5290537075142959,0.007321251942983444,0.466,36,MHDis
entropy,17,20,5,0.5353886541538074,0.004163820597101078,0.36,37,MHDis
gini,28,1,4,0.5099997802796572,0.011020625124446884,0.226,38,MHDis
entropy,32,19,8,0.5277260965945348,0.00865193379164215,1.339,39,MHDis
entropy,15,27,3,0.5328633792701974,0.0029426255535336524,0.827,40,MHDis
gini,30,21,4,0.5292552779019103,0.004324656935020448,0.645,41,MHDis
gini,25,26,6,0.5267619571840946,0.008178123699434527,0.782,42,MHDis
entropy,20,15,6,0.5279214469892535,0.008725411586395419,2.483,43,MHDis
gini,15,18,2,0.5307734404002661,0.004358783796572219,1.063,44,MHDis
entropy,2,7,2,0.4539879118937149,0.031955283996593246,0.363,45,MHDis
entropy,16,26,3,0.5310087561711861,0.0080511227291403,0.619,46,MHDis
gini,9,31,4,0.5228680886894872,0.011167644052499651,0.626,47,MHDis
entropy,32,10,2,0.5240676503240004,0.008795188016511774,0.549,48,MHDis
entropy,24,19,6,0.5322370550831499,0.004271236057671225,0.557,49,MHDis
