criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,31,3,3,0.9937770659171798,0.009645495824757789,0.311,35,HTTP
gini,18,4,9,0.9382220749754626,0.16159788051531493,0.346,36,HTTP
entropy,6,1,5,0.9944959654482091,0.00794064985323529,0.232,37,HTTP
gini,25,3,5,0.9090247564429687,0.16488635720451458,0.344,38,HTTP
entropy,8,3,5,0.9944965571995901,0.006425463738433132,0.377,39,HTTP
entropy,5,6,9,0.999760764181018,0.0007177074569461261,0.482,40,HTTP
entropy,5,2,9,0.7525521454405262,0.30073193862687614,0.506,41,HTTP
gini,6,7,8,0.8693028883872816,0.20921183291459997,0.856,42,HTTP
entropy,32,6,9,0.8648572562234962,0.1744283772692461,0.575,43,HTTP
entropy,6,5,2,0.9416791669919743,0.15848196678701024,0.362,44,HTTP
gini,20,8,8,0.9200411586672729,0.16954896658170163,0.429,45,HTTP
gini,6,7,6,0.8959675615212529,0.20806487695749437,0.301,46,HTTP
entropy,15,4,3,0.8612539410160258,0.21194740109811266,0.317,47,HTTP
gini,6,6,2,0.9451621328382005,0.16371770248816864,0.292,48,HTTP
entropy,2,6,7,0.9454013686571827,0.16379589402845218,0.288,49,HTTP
gini,16,20,6,0.49670078103959064,0.0,0.464,0,ACK
entropy,16,11,4,0.49670078103959064,0.0,0.377,1,ACK
gini,12,18,6,0.49670078103959064,0.0,0.359,2,ACK
gini,5,11,3,0.49670078103959064,0.0,0.416,3,ACK
entropy,22,9,2,0.49670078103959064,0.0,0.519,4,ACK
entropy,1,11,2,0.49670078103959064,0.0,0.411,5,ACK
gini,8,2,2,0.49670078103959064,0.0,0.362,6,ACK
gini,25,10,8,0.49670078103959064,0.0,0.46,7,ACK
gini,10,17,2,0.49670078103959064,0.0,0.393,8,ACK
gini,30,3,4,0.49670078103959064,0.0,0.347,9,ACK
gini,6,10,5,0.49670078103959064,0.0,0.379,10,ACK
entropy,2,10,4,0.49670078103959064,0.0,0.417,11,ACK
gini,15,12,7,0.49670078103959064,0.0,0.35,12,ACK
entropy,19,17,6,0.49670078103959064,0.0,0.436,13,ACK
entropy,32,17,6,0.49670078103959064,0.0,0.415,14,ACK
gini,32,10,6,0.49670078103959064,0.0,0.475,15,ACK
entropy,31,20,4,0.49670078103959064,0.0,0.538,16,ACK
entropy,12,2,3,0.49670078103959064,0.0,0.361,17,ACK
entropy,7,19,4,0.49670078103959064,0.0,0.439,18,ACK
entropy,10,20,7,0.49670078103959064,0.0,0.374,19,ACK
entropy,18,14,2,0.49670078103959064,0.0,0.388,20,ACK
entropy,12,5,7,0.49670078103959064,0.0,0.419,21,ACK
gini,23,13,3,0.49670078103959064,0.0,0.492,22,ACK
entropy,3,7,6,0.49670078103959064,0.0,0.475,23,ACK
entropy,31,1,3,0.49670078103959064,0.0,0.34,24,ACK
gini,16,1,5,0.49670078103959064,0.0,0.375,25,ACK
gini,10,1,6,0.49670078103959064,0.0,0.443,26,ACK
entropy,4,12,2,0.49670078103959064,0.0,0.332,27,ACK
entropy,23,13,5,0.49670078103959064,0.0,0.395,28,ACK
gini,10,18,8,0.49670078103959064,0.0,0.603,29,ACK
gini,30,12,6,0.49670078103959064,0.0,0.389,30,ACK
entropy,23,17,9,0.49670078103959064,0.0,0.482,31,ACK
entropy,26,19,9,0.49670078103959064,0.0,0.394,32,ACK
entropy,11,16,9,0.49670078103959064,0.0,0.382,33,ACK
gini,2,9,2,0.49670078103959064,0.0,0.362,34,ACK
gini,30,8,3,0.49670078103959064,0.0,0.44,35,ACK
gini,2,15,8,0.49670078103959064,0.0,0.454,36,ACK
gini,23,4,2,0.49670078103959064,0.0,0.345,37,ACK
gini,17,14,3,0.49670078103959064,0.0,0.37,38,ACK
entropy,32,12,2,0.49670078103959064,0.0,0.46,39,ACK
entropy,18,17,6,0.49670078103959064,0.0,0.526,40,ACK
entropy,1,8,2,0.49670078103959064,0.0,0.442,41,ACK
entropy,18,12,5,0.49670078103959064,0.0,0.355,42,ACK
entropy,10,9,4,0.49670078103959064,0.0,0.351,43,ACK
entropy,26,5,5,0.49670078103959064,0.0,0.404,44,ACK
gini,25,1,9,0.49670078103959064,0.0,0.35,45,ACK
gini,18,9,6,0.49670078103959064,0.0,0.351,46,ACK
entropy,31,19,4,0.49670078103959064,0.0,0.532,47,ACK
entropy,28,9,8,0.49670078103959064,0.0,0.346,48,ACK
gini,30,14,4,0.49670078103959064,0.0,0.361,49,ACK
gini,17,1,4,0.03917341455908183,0.01576293781122823,3.739,0,UDP
gini,19,1,6,0.04132483557738102,0.01690113793504905,4.32,1,UDP
gini,4,1,9,0.020544984190281026,0.013664835789001415,2.77,2,UDP
gini,31,1,4,0.03244691285578739,0.016833756253098544,4.178,3,UDP
gini,14,1,6,0.02839165910013582,0.01539871430345139,3.587,4,UDP
gini,18,1,6,0.04397556696141887,0.014954147487151744,6.89,5,UDP
entropy,23,1,6,0.027540799711712978,0.008912551252685249,11.042,6,UDP
entropy,7,1,5,0.02227060784614896,0.008939201821696066,3.992,7,UDP
gini,28,1,5,0.038709648066720746,0.015662545442095957,4.962,8,UDP
gini,30,1,4,0.023847138133763678,0.017104754853674062,4.829,9,UDP
entropy,31,1,5,0.03111723200361144,0.019792232585275113,4.519,10,UDP
gini,26,1,5,0.03441561034396003,0.01690713350024038,4.679,11,UDP
entropy,7,1,2,0.020869481001853724,0.013295999778173901,4.237,12,UDP
gini,12,1,2,0.03023413284408643,0.013677879369062746,3.919,13,UDP
gini,30,1,8,0.012758557619225005,0.012235637076982607,4.304,14,UDP
entropy,24,1,2,0.024484725439224815,0.013762620103921,3.866,15,UDP
entropy,29,1,4,0.03491763143792338,0.016523679232489312,3.699,16,UDP
gini,7,1,4,0.019428774985499164,0.014879730543892107,3.216,17,UDP
gini,22,1,4,0.040461002417167345,0.019253365928527933,4.301,18,UDP
entropy,6,1,7,0.02072836537596092,0.009380326708705849,4.527,19,UDP
gini,23,1,6,0.04932692003048851,0.011150130832977508,4.345,20,UDP
entropy,28,1,6,0.02928531918255811,0.01455391298369508,5.453,21,UDP
gini,23,1,3,0.02875138061597719,0.011750967212400869,4.508,22,UDP
gini,18,1,4,0.02776740053604731,0.015267259808377964,4.382,23,UDP
gini,10,1,5,0.038008129786188276,0.017021087576092574,3.443,24,UDP
entropy,30,1,2,0.021706134282523125,0.00956010334776142,4.686,25,UDP
entropy,22,1,4,0.02475320718250128,0.012595315038959342,4.178,26,UDP
entropy,18,1,5,0.027294755500431134,0.015747923486192673,4.326,27,UDP
gini,5,1,5,0.027348383990408863,0.01568946899606416,3.73,28,UDP
entropy,24,1,5,0.031824100869110375,0.018607828111286993,4.057,29,UDP
entropy,12,1,4,0.03079444406391028,0.014728634333995197,4.958,30,UDP
gini,22,1,5,0.029687420628379823,0.014913052321281244,4.634,31,UDP
gini,30,1,6,0.03392687981949398,0.013444954225702558,7.716,32,UDP
entropy,15,1,2,0.033696827898335655,0.01645908798972951,6.527,33,UDP
gini,32,1,6,0.032605582313707936,0.014711558576725799,5.685,34,UDP
gini,29,1,3,0.02324151932375823,0.013050850209490159,5.305,35,UDP
gini,2,1,2,0.02949299393366499,0.02838922431022696,4.16,36,UDP
gini,6,1,5,0.029563298801672334,0.01909119692512489,7.684,37,UDP
gini,19,1,6,0.02579932844680144,0.016158305255575888,5.355,38,UDP
gini,19,1,6,0.036106826339155317,0.014927451879769172,4.666,39,UDP
entropy,3,1,6,0.03351604508573644,0.02517665974259264,3.981,40,UDP
gini,18,1,6,0.03546004937966256,0.017821465968978552,4.019,41,UDP
entropy,23,1,5,0.03191183194299539,0.01617558567098614,4.524,42,UDP
gini,11,1,8,0.02123665682166688,0.013130754794385326,4.298,43,UDP
gini,19,1,6,0.03255337000939755,0.016683270272372916,4.376,44,UDP
entropy,30,1,7,0.016975215373586434,0.008264236383436993,3.539,45,UDP
entropy,20,1,4,0.031561639556916946,0.019743382482357363,4.127,46,UDP
gini,24,1,5,0.0341704214422521,0.017000461563650916,4.74,47,UDP
gini,4,1,2,0.05062770082080855,0.020146761661478364,3.232,48,UDP
gini,10,1,4,0.036698678542696365,0.019356978854301952,3.37,49,UDP
gini,30,6,9,0.9444784420985375,0.018411822076525735,0.204,0,ARP
entropy,20,15,3,0.9569551503914999,0.011904502239455769,0.265,1,ARP
entropy,21,9,6,0.9545739552076308,0.013299946782241938,0.519,2,ARP
gini,13,24,3,0.9603834044547508,0.008654215315120917,0.285,3,ARP
