C,penalty,Solver,F1,Std,Time,No,Attack
0.28513605856455243,l2,newton-cg,0.9594696599678528,1.1102230246251565e-16,44.205,0,SYN
0.7102292480120439,l2,newton-cg,0.9594696599678528,1.1102230246251565e-16,35.425,1,SYN
0.009324180001960152,l2,lbfgs,0.9478895628158108,0.0,11.246,2,SYN
2.656094243014108e-05,l2,newton-cg,0.9400470795939386,1.1102230246251565e-16,40.809,3,SYN
0.2133177331732172,l2,newton-cg,0.9594696599678528,1.1102230246251565e-16,39.799,4,SYN
39.77952968487038,l2,newton-cg,0.9648587683401537,0.0,44.008,5,SYN
0.005595238125663156,l2,liblinear,0.8372925447175785,0.0,5.18,6,SYN
0.0342839992891788,l2,newton-cg,0.9594696599678528,1.1102230246251565e-16,34.997,7,SYN
7.007270826633886e-05,l2,lbfgs,0.9531450244535382,0.0,22.909,8,SYN
0.012540050462840024,l2,newton-cg,0.9466725905880333,0.0,40.207,9,SYN
15.112541651174508,l2,liblinear,0.3333333333333333,0.0,0.981,0,HTTP
0.00029784971010067687,l2,liblinear,0.3333333333333333,0.0,0.278,1,HTTP
0.00787145323723505,l2,liblinear,0.3333333333333333,0.0,1.977,2,HTTP
0.2617229879420872,l2,newton-cg,1.0,0.0,7.096,3,HTTP
25.084940260417135,l2,lbfgs,0.3333333333333333,0.0,3.121,4,HTTP
2.699347147434975,l2,lbfgs,0.3333333333333333,0.0,2.277,5,HTTP
0.10943236309681996,l2,newton-cg,1.0,0.0,5.581,6,HTTP
0.006684527284419549,l2,newton-cg,1.0,0.0,8.752,7,HTTP
14.96322564080888,l2,newton-cg,1.0,0.0,4.666,8,HTTP
14.571537117317751,l2,newton-cg,1.0,0.0,5.647,9,HTTP
0.045803838009223614,l2,liblinear,0.49670078103959064,0.0,2.137,0,ACK
0.12757069689276915,l2,newton-cg,0.49670078103959064,0.0,8.553,1,ACK
7.764692789606544,l2,liblinear,0.49670078103959064,0.0,1.195,2,ACK
0.009536287164657226,l2,newton-cg,0.49670078103959064,0.0,9.86,3,ACK
0.0009235922327949918,l2,newton-cg,0.49670078103959064,0.0,9.344,4,ACK
22.8900194216753,l2,lbfgs,0.49670078103959064,0.0,3.757,5,ACK
0.08805944380111755,l2,liblinear,0.49670078103959064,0.0,0.372,6,ACK
2.2498839913314975e-05,l2,newton-cg,0.49670078103959064,0.0,14.05,7,ACK
1.575350578476147,l2,liblinear,0.49670078103959064,0.0,1.194,8,ACK
0.20697136865630228,l2,liblinear,0.49670078103959064,0.0,1.918,9,ACK
0.000865443578355859,l2,newton-cg,3.432991814221741e-05,0.0,22.316,0,UDP
1.2688243554443583,l2,newton-cg,3.432991814221741e-05,0.0,20.3,1,UDP
12.661654620313845,l2,newton-cg,3.432991814221741e-05,0.0,21.333,2,UDP
8.00685514063192e-05,l2,lbfgs,3.432991814221741e-05,0.0,4.403,3,UDP
0.021224451262175984,l2,liblinear,3.432991814221741e-05,0.0,3.763,4,UDP
8.595607139216748e-05,l2,lbfgs,3.432991814221741e-05,0.0,4.641,5,UDP
0.1626836609786965,l2,newton-cg,3.432991814221741e-05,0.0,22.422,6,UDP
0.0273604738903715,l2,liblinear,3.432991814221741e-05,0.0,4.854,7,UDP
0.009114963212124533,l2,lbfgs,3.432991814221741e-05,0.0,3.033,8,UDP
7.062524860255771e-05,l2,liblinear,3.432991814221741e-05,0.0,3.37,9,UDP
0.016455515487033435,l2,newton-cg,0.9367769706752757,1.1102230246251565e-16,8.635,0,ARP
0.0015475369738515276,l2,newton-cg,0.9315406793782856,0.0,6.355,1,ARP
0.0031663032922958374,l2,liblinear,0.9412049095622852,1.1102230246251565e-16,2.431,2,ARP
0.024794788609623815,l2,liblinear,0.9362694581547973,1.1102230246251565e-16,3.35,3,ARP
0.38252238593860854,l2,liblinear,0.9412049095622852,1.1102230246251565e-16,2.465,4,ARP
